Datetime,Open,Year,Week
2024-05-20 09:00:00+02:00,68.51000213623047,2024,21
2024-05-20 11:00:00+02:00,67.94999694824219,2024,21
2024-05-20 13:00:00+02:00,67.75,2024,21
2024-05-20 15:00:00+02:00,67.56999969482422,2024,21
2024-05-20 17:00:00+02:00,67.27999877929688,2024,21
2024-05-21 09:00:00+02:00,66.80000305175781,2024,21
2024-05-21 11:00:00+02:00,66.68000030517578,2024,21
2024-05-21 13:00:00+02:00,66.66999816894531,2024,21
2024-05-21 15:00:00+02:00,66.62999725341797,2024,21
2024-05-21 17:00:00+02:00,66.62000274658203,2024,21
2024-05-22 09:00:00+02:00,65.69999694824219,2024,21
2024-05-22 11:00:00+02:00,65.80999755859375,2024,21
2024-05-22 13:00:00+02:00,65.83000183105469,2024,21
2024-05-22 15:00:00+02:00,66.08999633789062,2024,21
2024-05-22 17:00:00+02:00,66.02999877929688,2024,21
2024-05-23 09:00:00+02:00,65.83000183105469,2024,21
2024-05-23 11:00:00+02:00,65.52999877929688,2024,21
2024-05-23 13:00:00+02:00,65.4000015258789,2024,21
2024-05-23 15:00:00+02:00,65.45999908447266,2024,21
2024-05-23 17:00:00+02:00,65.48999786376953,2024,21
2024-05-24 09:00:00+02:00,65.11000061035156,2024,21
2024-05-24 11:00:00+02:00,66.12999725341797,2024,21
2024-05-24 13:00:00+02:00,65.9000015258789,2024,21
2024-05-24 15:00:00+02:00,65.80999755859375,2024,21
2024-05-24 17:00:00+02:00,66.0199966430664,2024,21
