Datetime,Open,Year,Week
2024-06-24 09:00:00+02:00,148.67999267578125,2024,26
2024-06-24 11:00:00+02:00,148.72000122070312,2024,26
2024-06-24 13:00:00+02:00,149.05999755859375,2024,26
2024-06-24 15:00:00+02:00,148.97999572753906,2024,26
2024-06-24 17:00:00+02:00,149.3000030517578,2024,26
2024-06-25 09:00:00+02:00,135.39999389648438,2024,26
2024-06-25 11:00:00+02:00,133.25999450683594,2024,26
2024-06-25 13:00:00+02:00,131.10000610351562,2024,26
2024-06-25 15:00:00+02:00,130.9600067138672,2024,26
2024-06-25 17:00:00+02:00,133.66000366210938,2024,26
2024-06-26 09:00:00+02:00,135.24000549316406,2024,26
2024-06-26 11:00:00+02:00,135.86000061035156,2024,26
2024-06-26 13:00:00+02:00,133.0,2024,26
2024-06-26 15:00:00+02:00,129.5,2024,26
2024-06-26 17:00:00+02:00,131.27999877929688,2024,26
2024-06-27 09:00:00+02:00,131.6999969482422,2024,26
2024-06-27 11:00:00+02:00,130.47999572753906,2024,26
2024-06-27 13:00:00+02:00,130.47999572753906,2024,26
2024-06-27 15:00:00+02:00,130.24000549316406,2024,26
2024-06-27 17:00:00+02:00,131.5,2024,26
2024-06-28 09:00:00+02:00,130.89999389648438,2024,26
2024-06-28 11:00:00+02:00,128.60000610351562,2024,26
2024-06-28 13:00:00+02:00,129.0,2024,26
2024-06-28 15:00:00+02:00,128.17999267578125,2024,26
2024-06-28 17:00:00+02:00,128.22000122070312,2024,26
