Datetime,Open,Year,Week
2024-04-02 09:00:00+02:00,177.0,2024,14
2024-04-02 11:00:00+02:00,176.3800048828125,2024,14
2024-04-02 13:00:00+02:00,176.9199981689453,2024,14
2024-04-02 15:00:00+02:00,176.33999633789062,2024,14
2024-04-02 17:00:00+02:00,175.22000122070312,2024,14
2024-04-03 09:00:00+02:00,175.52000427246094,2024,14
2024-04-03 11:00:00+02:00,175.6999969482422,2024,14
2024-04-03 13:00:00+02:00,175.75999450683594,2024,14
2024-04-03 15:00:00+02:00,175.66000366210938,2024,14
2024-04-03 17:00:00+02:00,176.3800048828125,2024,14
2024-04-04 09:00:00+02:00,176.13999938964844,2024,14
2024-04-04 11:00:00+02:00,176.0399932861328,2024,14
2024-04-04 13:00:00+02:00,176.17999267578125,2024,14
2024-04-04 15:00:00+02:00,175.9199981689453,2024,14
2024-04-04 17:00:00+02:00,176.4600067138672,2024,14
2024-04-05 09:00:00+02:00,172.77999877929688,2024,14
2024-04-05 11:00:00+02:00,171.0800018310547,2024,14
2024-04-05 13:00:00+02:00,172.0,2024,14
2024-04-05 15:00:00+02:00,173.0800018310547,2024,14
2024-04-05 17:00:00+02:00,172.67999267578125,2024,14
