Datetime,Open,Year,Week
2023-07-03 09:00:00+02:00,152.8000030517578,2023,27
2023-07-03 11:00:00+02:00,150.36000061035156,2023,27
2023-07-03 13:00:00+02:00,149.0399932861328,2023,27
2023-07-03 15:00:00+02:00,148.82000732421875,2023,27
2023-07-03 17:00:00+02:00,148.39999389648438,2023,27
2023-07-04 09:00:00+02:00,149.10000610351562,2023,27
2023-07-04 11:00:00+02:00,147.52000427246094,2023,27
2023-07-04 13:00:00+02:00,147.0800018310547,2023,27
2023-07-04 15:00:00+02:00,147.16000366210938,2023,27
2023-07-04 17:00:00+02:00,146.97999572753906,2023,27
2023-07-05 09:00:00+02:00,146.0,2023,27
2023-07-05 11:00:00+02:00,146.0800018310547,2023,27
2023-07-05 13:00:00+02:00,146.55999755859375,2023,27
2023-07-05 15:00:00+02:00,146.02000427246094,2023,27
2023-07-05 17:00:00+02:00,145.5399932861328,2023,27
2023-07-06 09:00:00+02:00,144.82000732421875,2023,27
2023-07-06 11:00:00+02:00,145.05999755859375,2023,27
2023-07-06 13:00:00+02:00,144.82000732421875,2023,27
2023-07-06 15:00:00+02:00,144.13999938964844,2023,27
2023-07-06 17:00:00+02:00,142.33999633789062,2023,27
2023-07-07 09:00:00+02:00,142.10000610351562,2023,27
2023-07-07 11:00:00+02:00,142.5800018310547,2023,27
2023-07-07 13:00:00+02:00,143.47999572753906,2023,27
2023-07-07 15:00:00+02:00,143.24000549316406,2023,27
2023-07-07 17:00:00+02:00,142.4199981689453,2023,27
