Datetime,Open,Year,Week
2023-06-26 09:00:00+02:00,209.8000030517578,2023,26
2023-06-26 11:00:00+02:00,208.10000610351562,2023,26
2023-06-26 13:00:00+02:00,208.5500030517578,2023,26
2023-06-26 15:00:00+02:00,208.6999969482422,2023,26
2023-06-26 17:00:00+02:00,208.9499969482422,2023,26
2023-06-27 09:00:00+02:00,210.14999389648438,2023,26
2023-06-27 11:00:00+02:00,210.0,2023,26
2023-06-27 13:00:00+02:00,210.85000610351562,2023,26
2023-06-27 15:00:00+02:00,210.4499969482422,2023,26
2023-06-27 17:00:00+02:00,211.14999389648438,2023,26
2023-06-28 09:00:00+02:00,212.0,2023,26
2023-06-28 11:00:00+02:00,211.64999389648438,2023,26
2023-06-28 13:00:00+02:00,211.4499969482422,2023,26
2023-06-28 15:00:00+02:00,211.25,2023,26
2023-06-28 17:00:00+02:00,211.39999389648438,2023,26
2023-06-29 09:00:00+02:00,211.9499969482422,2023,26
2023-06-29 11:00:00+02:00,211.64999389648438,2023,26
2023-06-29 13:00:00+02:00,211.64999389648438,2023,26
2023-06-29 15:00:00+02:00,211.85000610351562,2023,26
2023-06-29 17:00:00+02:00,211.1999969482422,2023,26
2023-06-30 09:00:00+02:00,212.0,2023,26
2023-06-30 11:00:00+02:00,213.0,2023,26
2023-06-30 13:00:00+02:00,214.1999969482422,2023,26
2023-06-30 15:00:00+02:00,214.39999389648438,2023,26
2023-06-30 17:00:00+02:00,213.14999389648438,2023,26
