Date,Value
2023-11-08,1.07104
2023-11-09,1.06676
2023-11-12,1.06902
2023-11-13,1.07018
2023-11-14,1.08783
2023-11-15,1.08546
2023-11-16,1.08538
2023-11-19,1.09070
2023-11-20,1.09459
2023-11-21,1.09182
2023-11-22,1.08909
2023-11-23,1.09063
2023-11-26,1.09404
2023-11-27,1.09584
2023-11-28,1.10059
2023-11-29,1.09737
2023-11-30,1.08921
2023-12-03,1.08882
2023-12-04,1.08378
2023-12-05,1.07937
2023-12-06,1.07667
2023-12-07,1.07921
2023-12-10,1.07658
2023-12-11,1.07666
2023-12-12,1.07987
2023-12-13,1.08861
2023-12-14,1.09936
2023-12-17,1.08953
2023-12-18,1.09238
2023-12-19,1.09811
2023-12-20,1.09457
2023-12-21,1.10062
2023-12-24,1.10266
2023-12-25,1.10203
2023-12-26,1.10430
2023-12-27,1.11086
2023-12-28,1.10682
2023-12-31,1.10558
2024-01-01,1.10387
2024-01-02,1.09418
2024-01-03,1.09278
2024-01-04,1.09474
2024-01-07,1.09422
2024-01-08,1.09517
2024-01-09,1.09324
2024-01-10,1.09751
2024-01-11,1.09817
2024-01-14,1.09457
2024-01-15,1.09457
2024-01-16,1.08788
2024-01-17,1.08858
2024-01-18,1.08791
2024-01-21,1.08923
2024-01-22,1.08802
2024-01-23,1.08579
2024-01-24,1.08817
2024-01-25,1.08471
2024-01-28,1.08435
2024-01-29,1.08345
2024-01-30,1.08434
2024-01-31,1.08039
2024-02-01,1.08746
2024-02-04,1.07800
2024-02-05,1.07418
2024-02-06,1.07572
2024-02-07,1.07757
2024-02-08,1.07773
2024-02-11,1.07982
2024-02-12,1.07723
2024-02-13,1.07089
2024-02-14,1.07322
2024-02-15,1.07739
2024-02-18,1.07845
2024-02-19,1.07754
2024-02-20,1.08132
2024-02-21,1.08204
2024-02-22,1.08257
2024-02-25,1.08196
2024-02-26,1.08509
2024-02-27,1.08448
2024-02-28,1.08388
2024-02-29,1.08050
2024-03-03,1.08427
2024-03-04,1.08552
2024-03-05,1.08560
2024-03-06,1.08995
2024-03-07,1.09501
2024-03-10,1.09430
2024-03-11,1.09313
2024-03-12,1.09278
2024-03-13,1.09553
2024-03-14,1.08834
2024-03-17,1.08826
2024-03-18,1.08739
2024-03-19,1.08633
2024-03-20,1.09372
2024-03-21,1.08624
2024-03-24,1.08075
2024-03-25,1.08382
2024-03-26,1.08324
2024-03-27,1.08134
2024-03-28,1.07945
2024-03-31,1.07927
2024-04-01,1.07372
2024-04-02,1.07685
2024-04-03,1.08384
2024-04-04,1.08370
2024-04-07,1.08305
2024-04-08,1.08637
2024-04-09,1.08593
2024-04-10,1.07417
2024-04-11,1.07269
2024-04-14,1.06496
2024-04-15,1.06258
2024-04-16,1.06215
2024-04-17,1.06694
2024-04-18,1.06442
2024-04-21,1.06578
2024-04-22,1.06540
2024-04-23,1.07044
2024-04-24,1.06999
2024-04-25,1.07296
2024-04-28,1.07069
2024-04-29,1.07157
2024-04-30,1.06665
2024-05-01,1.07216
2024-05-02,1.07331
2024-05-05,1.07581
2024-05-06,1.07675
2024-05-07,1.07505
2024-05-08,1.07469
2024-05-09,1.07852
2024-05-12,1.07704
2024-05-13,1.07935
2024-05-14,1.08146
2024-05-15,1.08898
2024-05-16,1.08678
2024-05-19,1.08755
2024-05-20,1.08608
2024-05-21,1.08552
2024-05-22,1.08252
2024-05-23,1.08127
2024-05-26,1.08476
2024-05-27,1.08619
2024-05-28,1.08519
2024-05-29,1.08018
2024-05-30,1.08354
2024-06-02,1.08530
2024-06-03,1.09074
2024-06-04,1.08819
2024-06-05,1.08745
2024-06-06,1.08944
2024-06-09,1.07789
2024-06-10,1.07643
2024-06-11,1.07403
2024-06-12,1.08132
2024-06-13,1.07388
2024-06-16,1.07022
2024-06-17,1.07407
2024-06-18,1.07423
2024-06-19,1.07515
2024-06-20,1.07064
2024-06-23,1.06878
2024-06-24,1.07327
2024-06-25,1.07096
2024-06-26,1.06801
2024-06-27,1.07085
2024-06-30,1.07353
2024-07-01,1.07371
2024-07-02,1.07484
2024-07-03,1.07933
2024-07-04,1.08107
2024-07-07,1.08260
2024-07-08,1.08309
2024-07-09,1.08148
2024-07-10,1.08333
2024-07-11,1.08728
2024-07-14,1.08855
2024-07-15,1.09016
2024-07-16,1.09025
2024-07-17,1.09402
2024-07-18,1.09016
2024-07-21,1.08992
2024-07-22,1.08898
2024-07-23,1.08507
2024-07-24,1.08395
2024-07-25,1.08513
2024-07-28,1.08538
2024-07-29,1.08195
2024-07-30,1.08161
2024-07-31,1.08239
2024-08-01,1.07876
2024-08-04,1.09108
2024-08-05,1.09510
2024-08-06,1.09262
2024-08-07,1.09281
2024-08-08,1.09157
2024-08-11,1.09138
2024-08-12,1.09363
2024-08-13,1.09970
2024-08-14,1.10132
2024-08-15,1.09727
2024-08-18,1.10250
2024-08-19,1.10865
2024-08-20,1.11279
2024-08-21,1.11554
2024-08-22,1.11172
2024-08-25,1.11879
2024-08-26,1.11647
2024-08-27,1.11779
2024-08-28,1.11250
2024-08-29,1.10804
2024-09-01,1.10448
2024-09-02,1.10675
2024-09-03,1.10489
2024-09-04,1.10804
2024-09-05,1.11111
2024-09-08,1.10872
2024-09-09,1.10375
2024-09-10,1.10210
2024-09-11,1.10109
2024-09-12,1.10779
2024-09-15,1.10884
2024-09-16,1.11295
2024-09-17,1.11231
2024-09-18,1.11148
2024-09-19,1.11620
2024-09-22,1.11608
2024-09-23,1.11117
2024-09-24,1.11912
2024-09-25,1.11310
2024-09-26,1.11772
2024-09-29,1.11698
2024-09-30,1.11366
2024-10-01,1.10639
