Date,Value
2023-11-22,3.3500
2023-11-24,3.4600
2023-11-27,3.3700
2023-11-28,3.2900
2023-11-29,3.3200
2023-11-30,3.4800
2023-12-01,3.3400
2023-12-04,3.3100
2023-12-05,3.3000
2023-12-06,3.1400
2023-12-07,3.3000
2023-12-08,3.2000
2023-12-11,3.1800
2023-12-12,3.0200
2023-12-13,2.9500
2023-12-14,3.1700
2023-12-15,3.3200
2023-12-18,3.3300
2023-12-19,3.2500
2023-12-20,3.2800
2023-12-21,3.2100
2023-12-22,3.3500
2023-12-26,3.3600
2023-12-27,3.4200
2023-12-28,3.3700
2023-12-29,3.3400
2024-01-02,3.3000
2024-01-03,3.2600
2024-01-04,3.3200
2024-01-05,3.1700
2024-01-08,3.1000
2024-01-09,3.0800
2024-01-10,2.9900
2024-01-11,2.9300
2024-01-12,3.0200
2024-01-16,2.9800
2024-01-17,2.7200
2024-01-18,2.6300
2024-01-19,2.6000
2024-01-22,2.6700
2024-01-23,2.8500
2024-01-24,2.9700
2024-01-25,3.1300
2024-01-26,3.1700
2024-01-29,3.2500
2024-01-30,3.1900
2024-01-31,3.2500
2024-02-01,3.0800
2024-02-02,2.9300
2024-02-05,2.7700
2024-02-06,2.7700
2024-02-07,2.8300
2024-02-08,2.7800
2024-02-09,2.8400
2024-02-12,2.8600
2024-02-13,2.9600
2024-02-14,2.9000
2024-02-15,2.9500
2024-02-16,3.1200
2024-02-20,3.1000
2024-02-21,3.1000
2024-02-22,3.0500
2024-02-23,2.9500
2024-02-26,2.9500
2024-02-27,2.9500
2024-02-28,3.0200
2024-02-29,3.0000
2024-03-01,3.0600
2024-03-04,3.0500
2024-03-05,2.8500
2024-03-06,2.8000
2024-03-07,2.6300
2024-03-08,2.6300
2024-03-11,2.5700
2024-03-12,2.5900
2024-03-13,2.5000
2024-03-14,2.5600
2024-03-15,2.5000
2024-03-18,2.6000
2024-03-19,2.5600
2024-03-20,2.5300
2024-03-21,2.6900
2024-03-22,2.6000
2024-03-25,2.5500
2024-03-26,2.5600
2024-03-27,2.4600
2024-03-28,2.5900
2024-04-01,2.6700
2024-04-02,2.7000
2024-04-03,2.7600
2024-04-04,2.7800
2024-04-05,2.7500
2024-04-08,2.7400
2024-04-09,2.6100
2024-04-10,2.5600
2024-04-11,2.6100
2024-04-12,2.6100
2024-04-15,2.6100
2024-04-16,2.5500
2024-04-17,2.5000
2024-04-18,2.4200
2024-04-19,2.3900
2024-04-22,2.4000
2024-04-23,2.3800
2024-04-24,2.4000
2024-04-25,2.3500
2024-04-26,2.3200
2024-04-29,2.3500
2024-04-30,2.3800
2024-05-01,2.2600
2024-05-02,2.3100
2024-05-03,2.3000
2024-05-06,2.3700
2024-05-07,2.4200
2024-05-08,2.3300
2024-05-09,2.3400
2024-05-10,2.4000
2024-05-13,2.3800
2024-05-14,2.4200
2024-05-15,2.4200
2024-05-16,2.3400
2024-05-17,2.3100
2024-05-20,2.3400
2024-05-21,2.3700
2024-05-22,2.3100
2024-05-23,2.2800
2024-05-24,2.2200
2024-05-28,2.2500
2024-05-29,2.2400
2024-05-30,2.1300
2024-05-31,2.2200
2024-06-03,2.2500
2024-06-04,2.1400
2024-06-05,2.1400
2024-06-06,2.1300
2024-06-07,2.1000
2024-06-10,2.1000
2024-06-11,2.0900
2024-06-12,2.2400
2024-06-13,2.1500
2024-06-14,2.0800
2024-06-17,2.0500
2024-06-18,2.0600
2024-06-20,2.0000
2024-06-21,2.1200
2024-06-24,2.1200
2024-06-25,2.1700
2024-06-26,2.1000
2024-06-27,2.1000
2024-06-28,2.1400
2024-07-01,2.1500
2024-07-02,2.2300
2024-07-03,2.2000
2024-07-05,2.2600
2024-07-08,2.2200
2024-07-09,2.2000
2024-07-10,2.2500
2024-07-11,2.2900
2024-07-12,2.3800
2024-07-15,2.4400
2024-07-16,2.4700
2024-07-17,2.5000
2024-07-18,2.4900
2024-07-19,2.4100
2024-07-22,2.4000
2024-07-23,2.3500
2024-07-24,2.3300
2024-07-25,2.2700
2024-07-26,2.3800
2024-07-29,2.3800
2024-07-30,2.3600
2024-07-31,2.4200
2024-08-01,2.4300
2024-08-02,2.2800
2024-08-05,2.1000
2024-08-06,2.1300
2024-08-07,2.1500
2024-08-08,2.2300
2024-08-09,2.2400
2024-08-12,2.2300
2024-08-13,2.2500
2024-08-14,2.2700
2024-08-15,2.2300
2024-08-16,2.2700
2024-08-19,2.2500
2024-08-20,2.2700
2024-08-21,2.2600
2024-08-22,2.2700
2024-08-23,2.2600
2024-08-26,2.3600
2024-08-27,2.3500
2024-08-28,2.3100
2024-08-29,2.3000
2024-08-30,2.3100
2024-09-03,2.2500
2024-09-04,2.1100
2024-09-05,2.0100
2024-09-06,2.0400
2024-09-09,2.0500
2024-09-10,2.0200
2024-09-11,2.0200
2024-09-12,2.0100
2024-09-13,1.9600
2024-09-16,2.0400
2024-09-17,2.0600
2024-09-18,2.1300
2024-09-19,2.1800
2024-09-20,2.0900
2024-09-23,2.1000
2024-09-24,2.1400
2024-09-25,2.1100
2024-09-26,1.9900
2024-09-27,2.0200
2024-09-30,2.0700
2024-10-01,2.1400
2024-10-02,2.4000
2024-10-03,2.4800
2024-10-04,2.7600
2024-10-07,2.7200
2024-10-08,2.7000
2024-10-09,2.3700
2024-10-10,2.3200
2024-10-11,2.2100
2024-10-14,2.2200
2024-10-15,2.0700
2024-10-16,2.0100
2024-10-17,2.0400
2024-10-18,2.1000
2024-10-21,2.1200
2024-10-22,2.1200
2024-10-23,2.1000
2024-10-24,2.0900
2024-10-25,2.1400
2024-10-28,2.0500
2024-10-29,2.0600
2024-10-30,2.1700
2024-10-31,2.1800
2024-11-01,2.1600
