Datetime,Open,Year,Week
2024-04-08 09:00:00+02:00,22.040000915527344,2024,15
2024-04-08 11:00:00+02:00,22.079999923706055,2024,15
2024-04-08 13:00:00+02:00,22.09000015258789,2024,15
2024-04-08 15:00:00+02:00,22.0,2024,15
2024-04-08 17:00:00+02:00,21.940000534057617,2024,15
2024-04-09 09:00:00+02:00,22.020000457763672,2024,15
2024-04-09 11:00:00+02:00,22.110000610351562,2024,15
2024-04-09 13:00:00+02:00,22.1200008392334,2024,15
2024-04-09 15:00:00+02:00,22.079999923706055,2024,15
2024-04-09 17:00:00+02:00,22.219999313354492,2024,15
2024-04-10 09:00:00+02:00,22.25,2024,15
2024-04-10 11:00:00+02:00,22.540000915527344,2024,15
2024-04-10 13:00:00+02:00,22.489999771118164,2024,15
2024-04-10 15:00:00+02:00,22.420000076293945,2024,15
2024-04-10 17:00:00+02:00,22.670000076293945,2024,15
2024-04-11 09:00:00+02:00,21.8700008392334,2024,15
2024-04-11 11:00:00+02:00,21.31999969482422,2024,15
2024-04-11 13:00:00+02:00,21.25,2024,15
2024-04-11 15:00:00+02:00,21.34000015258789,2024,15
2024-04-11 17:00:00+02:00,21.190000534057617,2024,15
2024-04-12 09:00:00+02:00,21.299999237060547,2024,15
2024-04-12 11:00:00+02:00,21.350000381469727,2024,15
2024-04-12 13:00:00+02:00,21.25,2024,15
2024-04-12 15:00:00+02:00,21.239999771118164,2024,15
2024-04-12 17:00:00+02:00,21.139999389648438,2024,15
